classname,spellname,level,range,duration,aoe,components,casting_time,saving_throw,description
druid,Shillelagh,1,touch,permanent (until triggered),10 ft radius + 6 ft/ caster lvl,v s m,3 rounds,none,"The druid imbues a club or billet of oak-wood with enchanted power, making it +1 to hit and capable of inflicting 2d4 points of damage against small and medium-sized opponents, 1d4+1 against large opponents. The shillelagh must be wielded by the druid in order for it to possess these magical properties; in the hands of any other person it will be no more than an ordinary wooden club."
druid,Speak with Animals,1,0,2 rounds/ caster lvl,One animal type within 40ft of caster,v s,3 segments,non,"This spell allows the druid to speak with all animals of a particular type or species that are within 40 ft of him or her when the spell’s casting is complete. In all other respects, except as denoted above, the spell is identical to the second level cleric spell speak with animals."
druid,Barkskin,2,touch,4 rounds + 1/ lvl,Creature touched,v s m,3 segments,none,"The barkskin spell magically toughens a creature’s skin, making it as strong as tree bark. The recipient of the spell improves his or her armour class by one point and also gains a +1 bonus on all saving throws, with the exception of saving throws against Spells (unlisted categories)."
druid,Charm Person or Mammal,2,80 ft,-,One person or mammal,v s,4 segments,negates,"The powerful enchantment woven by this spell will affect any “person,” meaning character races (with the exception of elves) and other small to medium-sized bipeds analogous to persons (orcs, goblins, etc.). The spell also affects mammalian animals of any kind, even those that are supernatural, giant, or monstrous. If the target creature fails a saving throw, it will view the druid as a trusted friend, interpreting his or her every word in its most positive light. Charmed creatures will place themselves into moderate danger, including combat, on the druid’s behalf, but will not undertake risks beyond those the creature might ordinarily take. The druid must be able to talk to the charmed creature if he or she is to make any sort of complex “request.” Charmed creatures are allowed periodic saving throws to break the charm, based on intelligence:
$
19+|one saving throw/ day
18|one saving throw/ 2 days
17|one saving throw/ 3 days
15-16|one saving throw/ week
13-14|one saving throw/ 2 weeks
10-12|one saving throw/ 3 weeks
7-9|one saving throw/ month
4-6|one saving throw/ 2 months
3 or less|one saving throw/ 3 months
@
The charm will be broken automatically if the druid obviously tries to harm the charmed creature."
druid,Create Water,2,10 ft,Instantaneous (permanent),up to 1 ft cu/ lvl,v s,1 turn,none,"This spell creates potable water, four gallons per level of the caster. The water may be created in a receptacle or in thin air (whence it will, of course, fall). Water cannot be created inside a creature, nor can it be created in any place the caster cannot see."
druid,Cure Light Wounds,2,touch,instantaneous (permanent),creature touched,v s m,4 segments,none (neg.),"Cure light wounds allows the cleric to lay hands upon a wound- ed creature, restoring 1d8 hit points to the spell’s benefici- ary. The reverse of the spell operates in the same manner (al- though requiring a to hit roll), but inflicts 1d8 hit points rather than healing. If the cleric fails to hit while casting cause light wounds, the spell is lost. This spell does not heal disease, reat- tach limbs, or bring back the dead, nor can it add hit points beyond a character’s normal number. Non-corporeal creatures are not affected by this spell, nor are undead, nor are creatures that are harmed only by iron, silver, or magical weapons."
druid,Feign Death,2,10 ft,4 rounds + 2 rounds/ lvl,one creature,v s m,3 segments,none,"This spell magically slows the recipient’s metabolism into a state so close to death that it is impossible to distinguish the enspelled person from a corpse by any means other than magical. The recipient can hear, smell, and think; the senses of touch and sight no longer function. Damage caused to the pseudo- corpse is reduced by one half, and the spell’s recipient will not even know that the damage has been caused—potentially a dangerous situation. A person under the influence of this spell is not subject to level draining by the undead and will not be affected by poisons until the spell wears off or is otherwise removed; the caster can remove the catalepsy at will, and the spell is subject to being dispelled."
druid,Fire Trap,2,touch,permanent until tripped,one object,v s m,1 turn,Half,"This spell enchants any item that can be opened or closed with a magical trap. When the item is opened by any person other than the caster, magical fire explodes in an area five ft in radius around the fire trapped object, causing 1d4 plus the caster’s level hit points of damage to all creatures in this area. A successful saving throw indicates half damage. The item upon which this spell is cast suffers no damage from the explosion. Detecting a fire trap is extraordinarily difficult; attempts to find traps are reduced by one-half in efficacy if the trap is a fire trap, and the trap will detonate if an attempt to remove traps fails."
druid,Heat Metal,2,40 ft,7 rounds,"All metal worn by 1 size M creature per caster lvl, or 50lbs weight/ caster lvl, as applicable",v s m,4 segments,none,"This extremely powerful spell causes metal to heat up to searing temperatures, and the reverse, chill metal, causes metal to become damagingly cold. The two versions of the spell inflict different damage and potential side effects. The effects of continued exposure to the metal as it changes temperature to a damaging level and then returns to normal are set forth below:
$Heat:
Round 1|No effect other than discomfort
Round 2|1d4 hp damage
Rounds 3-5|2d4 hp damage, severe blistering to extremities (hands, feet), and unconsciousness if the metal is a helmet
Round 6|1d4 hp damage
Round 7|Discomfort
@
$Cold:
Round 1|no effect other than discomfort
Round 2|1d2 hp damage
Rounds 3-5|1d4 hp damage, severe frostbite (possible need for amputation of extremities such as fingers, ears)
Round 6|1d4 hp damage
Round 7|discomfort
@
"
druid,Locate Plants,2,Caster,1 turn/ caster lvl,5 ft radius/ caster lvl,v s m,1 round,none,"When this spell is used by a druid, he or she is able to locate any desired type of plant within the area of effect. Note: the plant type must be singular and concentrated upon. The spell's area of effect centres on, and moves with, the druid."
druid,Obscurement,2,0,4 rounds/ caster lvl,10 x 10 ft cube/ caster lvl,v s,4 segments,none,"As this spell is completed, an enchanted mist billows from the area where the druid stands, rapidly filling the area of effect and reducing visibility therein to 1d4 x2 ft. The spell is affected by natural conditions such as strong winds, which will reduce the spell’s effective duration."
druid,Produce Flame,2,0,2 rounds/ caster lvl,See text,v s m,4 segments,See descripition,"On casting this spell, the druid’s hand ignites with an eldritch fire that causes no harm to the druid but is otherwise equivalent to the flame of a torch. It can be used to set fires and may also be thrown as a missile. The throwing range of the flame is 40 ft, and when the flame hits an object it will explode, igniting all combustible material in a radius of 15 ft. (Materials are entitled to saving throws against normal fire.) The druid may banish the magical flame at will, but fires set by it must be extinguished by normal means."
druid,Trip,2,touch,1 turn/ caster lvl,One 10 ft long object,v s m,5 segments,negates,"The spell caster must use a length of vine, a stick, pole, rope, or similar object to cast this magic upon. The Trip spell causes the object to rise slightly off the ground or floor it is resting on and trip creatures crossing it if they fail to make their saving throw versus magic. Note that only as many creatures can be tripped as are actually stepping across the magicked object, i.e. a 3' long piece of rope could trip only 1 man-sized creature. Creatures moving at a very rapid pace (running) when tripped will take 1-6 (d6) hit points of damage and be stunned for 2-5 (d4+1) rounds if the surface they full upon is very hard, but if it is turf or non-hard they will merely be stunned for 2-5 segments. Very large creatures such as elephants will not be at all affected by a Trip. The object magicked will continue to trip all creatures passing over it, including the spell caster, for as long as the spell duration lasts. Creatures aware of the object and its potential add +4 to their saving throw when crossing it. The object is 80% undetectable without magical means of detection."
druid,Warp Wood,2,10 ft/ caster lvl,instantaneous (permanent),See text,v s m,4 segments,none,"This spell permanently warps wood and may be used to destroy arrows, spears, doors, etc. The druid may affect a volume of wood roughly fifteen inches long by one inch thick per caster level, about the volume of an axe handle. Multiple items may be affected; four arrows have about the same volume as an axe handle. A fifth-level druid could effectively destroy a normal door with this spell."
druid,Call Lightning,3,0,1 turn/ lvl,360 ft radius,v s m,1 turn,Half,"Provided that there is already significant cloud cover in the area, the druid may use this spell to call down a shattering barrage of lightning bolts from the sky to the ground. One bolt may be called every turn (10 minutes). The bolts inflict 2d8 points of damage, plus another d8 per level of the caster. Any creature within 10 ft of a bolt’s impact (or along its downward path) will sustain damage. The spell may only be cast outdoors."
druid,Cure Disease,3,touch,instantaneous (permanent),Creature touched,v s m,1 round,none (neg.),"By means of this spell, the druid may cure most diseases by laying hands upon the afflicted creature. Depending upon the nature of the disease, full recovery may require as little time as a single turn, or as long as a week. The spell’s reverse, cause disease, requires that the druid successfully touch the intended victim, who is permitted a saving throw against the spell’s insidious effects. If the saving throw is failed, the effects of the disease will manifest within 1d6 turns, inflicting 1 hit point of damage per turn thereafter and one point of lost strength per hour (6 turns) until the victim is reduced to 10% of his or her original hit points and strength. Until the disease is cured or runs its course, the afflicted person will not be able to naturally recover either strength or hit points over and above 10%. The disease runs its course in 1d6 days."
druid,Hold Animal,3,0,2 rounds/ caster lvl,1d4 animals,v s m,5 segments,negates,"By means of this spell the druid holds one to four animals rigid. Animals affected are normal or giant-sized mammals, birds, or reptiles, but not monsters such as centaurs, gorgons, harpies, naga, etc. That is, apes, bears, crocodiles, dogs, eagles, foxes, giant beavers, and similar animals are subject to this spell. The hold lasts for 2 melee rounds per level of experience of the druid casting it. It is up to the druid as to how many animals he or she wishes to hold with the spell, but the greater the number, the better chance each will have of not being affected by the spell. Note that a maximum body weight of 400 pounds (100 pounds with respect to non-mammals)/animal/level of experience of the druid can be affected, i.e. an 8th level druid can affect up to four 3,200 pound mammals or a like number of 800 pound non-mammals such as birds or reptiles. Each animal gets a saving throw: if only 1 is the subject of the spell, it has a penalty of -4 on its die roll to save; if 2 are subject, they each receive a penalty of -2 on their die rolls; if 3 are subject, they each receive a penalty of -1 on their die rolls; if 4 are subject, each makes a normal saving throw."
druid,Neutralise Poison,3,touch,instantaneous,Creature touched,v s,5 segments,none (neg.),"By means of a Neutralize Poison spell, the druid detoxifies any sort of venom in the creature or substance touched. Note that an opponent, such as a poisonous reptile or snake (or even an envenomed weapon of an opponent) unwilling to be so touched requires the druid to score a hit in melee combat. Effects of the spell are permanent only with respect to poison existing in the touched creature at the time of the touch, i.e. creatures (or objects) which generate new poison will not be permanently detoxified. The reversed spell, Poison, likewise requires an attack (a ""to hit"" touch which succeeds), and the victim is allowed a saving throw versus poison. If the latter is unsuccessful, the victim is killed by the poison."
druid,Plant Growth,3,160 ft,permanent,20 x 20 ft sq/ caster lvl,v s m,1 round,none,"By means of this spell, the druid causes plants and vines to grow with unbelievable speed, forming a tangled barrier of thick vegetation. The enchantment may be dispelled, or the plants cleared by normal means. Chopping a way through the barrier is possible, but movement is restricted to 10 ft/ turn (20 ft for size L creatures)."
druid,Protection From Fire,3,touch,see text,one creature,v s m,5 segments,none,"The druid may use this spell to confer considerable protection from fire upon another creature, but if he or she casts it upon him- or herself the effects are far greater, conferring temporary invulnerability even to fires of magical nature, such as dragon’s breath. If the spell is cast upon another creature, the recipient gains immunity to normal fire and a saving throw bonus of +4 against fire based attacks. Any damage incurred by fire attacks will also reduced by half. If the spell is cast upon the druid, he or she becomes completely invulnerable to normal fire and also ignores all damage from magical fire (dragon breath, fireball, etc.) until a total of 12 hp/caster level has been absorbed by the spell, at which time the spell will be dissipated."
druid,Pyrotechnics,3,160 ft,see text,see text,v s m,5 segments,none,"The pyrotechnics spell may be used to produce two entirely different effects: a bright display of fiery light or a massive pall of smoke. Both possible uses of the spell require an existing fire source (which may be anywhere in the spell’s range), and the spell’s area of effect depends on the size of the originating fire. If the spell is used to produce fireworks, the flashing display will temporarily blind (for 1d4+1 rounds) all creatures in the area of effect and 120 ft beyond—provided that the display is not obstructed from view, of course. The fireworks fill an area ten times the volume of the original fire source and persist for 1 segment/ caster level. If the spell is used to produce smoke, a billowing cloud will emanate from the fire source, obscuring vision beyond 20 ft in an area 100 times the volume of the fire source. Whatever fire is used as the spell’s source is extinguished immediately as the spell is cast."
druid,Snare,3,touch,permanent (until triggered),10 ft radius + 6 ft/ caster lvl,v s m,3 rounds,none,"This spell is used to enchant a normal snare, making it hard to detect and supernaturally effective. The spell is cast upon a rope, vine, or cord, which then blends perfectly with the surroundings, becoming 90% undetectable to normal (unenchanted) vision. When any creature steps into the area bounded by the snare, the snare will whip closed and bind the victim tightly. Strength of 23 is required to break the snare for one hour after the spell is triggered, and the strength required falls by one point per hour until 12 hours have elapsed, at which time the spell ceases to have any effect. If the snare is attached to a suitably flexible tree, the spell will magically bend the tree so that when the trap is triggered it will snap the victim into the air for 1d6 points of damage and hold it suspended from the branches."
druid,Stone Shape,3,touch,instantaneous,3 cu ft + 1/ caster lvl,v s m,1 round,none,"The druid moulds stone by the power of his or her will, shaping it into whatever object or form he or she desires, from a weapon to a sculpture to an ornate stone footstool. Whether used to decorate the wizard’s tower with gargoyles or to make an escape hole from a stone prison, this spell is extremely ver- satile and useful."
druid,Summon Insects,3,30 ft,1 round/ caster lvl,see text,v s m,1 round,none,"When the druid completes the intonations and gestures of this spell, a swarm of insects appears from nearby or from the thin air to attack the druid’s enemies. There is a 70% chance that the swarm will be composed of flying insects, 30% chance that the insects will be ants or other non-airborne biting vermin. A flying swarm can move tremendously fast, but a crawling swarm is limited to movement of 12 ft/ round. In either case, the insects automatically inflict 2 hp damage per round against their target, and the unfortunate victim will be so thickly covered as to be incapable of any action, including movement. The druid may redirect the swarm to attack another opponent, but the command will cause 1 round of confusion within the swarm as it reorients itself toward the new target."
druid,Tree,3,caster,6 turns + 1 turn/ caster lvl,caster,v s m,5 segments,none,"Casting this spell causes the druid’s shape to melt and twist into that of a tree, its general appearance determined by the caster. The spell is neither an illusion nor a charm: the druid is, for all intents and purposes, a tree. However, in tree shape the druid retains human senses and will be fully aware of his or her surroundings. The druid may shift back into human shape at will, thereby ending the spell. Magical detections will reveal the druid’s true form, but ordinary inspections, no matter how minute, will not."
druid,Water Breathing,3,touch,6 turns/ lvl,one creature,v s m,5 segments,none,This spell grants the ability to breathe underwater while the spell lasts. The reverse of the spell allows a water-breathing creature to breathe in the air.
druid,Animal Summoning I,4,120 ft/ lvl,specific mission,spell range,v s m,6 segments,none,"A druid may use this spell to summon normal or giant animals of a specified type. The animals must be within the spell’s range to be summoned. Up to three summoning attempts may be made if animals of the specified type do not appear. Assuming that the summoned type of animal is within the spell’s range, up to 8 animals will appear, of no more than 4 hit dice each. These animals will assist the druid with a specific mission: winning a battle, travelling to a specific location, etc."
druid,Call Woodland Beings,4,360 ft + 30 ft/ lvl,-,-,v s m,-,negates,"This summoning calls certain woodland creatures to aid the druid, provided that they are nearby. The druid casts the spell by means of a sonorous chant, which he or she must continue for 2 turns or until the summoned creatures appear. The GM will determine if creatures that will respond to such a call are in the area. The creatures are entitled to a saving throw vs Spells (unlisted categories) at a penalty of –4. If the creatures fail the saving throw and are summoned to the druid’s aid, they will provide whatever aid they are capable of, although their willingness to engage in combat is subject to their overall reactions to the druid himor herself. If there is an evil character in the druid’s party, the summoned creatures gain an additional saving throw to avoid the effects of the spell, at a bonus of +4. Creatures that may be summoned by this spell include: Centaurs 1d4 | Pixies 1d8 | Fauns 1d4 | Treant 1 | Unicorn 1"
druid,Control Temperature 10 ft radius,4,caster,4 turns + 1 turn/ lvl,10 ft radius,v s m,6 segments,none,"By casting this spell, the druid magically controls the temperature of his or her immediate surroundings, to a radius of 10 ft. The temperature may be raised or lowered by 9° Fahrenheit (4° Celsius) per caster level."
druid,Cure Serious Wounds,4,touch,instantaneous (permanent),creature touched,v s m,6 segments,none (neg.),"A benison similar to cure light wounds, cure serious wounds permits the cleric to lay on hands for 2d8+1 hit points of heal- ing. The spell’s limits are otherwise similar to those of cure light wounds. The reverse of the spell causes damage rather than healing, requiring that the cleric successfully touch the target."
druid,Dispel Magic,4,80 ft,instantaneous,40 ft cu/ lvl,v s m,6 segments,none,"Dispel magic has a base chance of 50% permanently to ne- gate magic—both the magical properties of potions and the ongoing effects of certain spells. All spell effects and relevant items within the stated area of effect are subject to dispel- ling. Permanent magical items are not disenchanted by the spell, with the exception of potions, which are treated as 12th level for purposes of resolution. However, even a permanently enchanted item must make a saving throw or become non- operational for one round. Any spells in the process of being cast in the spell’s area of effect will be lost, and any ongoing spell effects (such as invisibility) will be dispelled. With respect to each potion, casting, or ongoing spell effect, the base chance of successful dispelling is increased 5% for every level by which the caster’s level exceeds the caster level of the potion, the casting, or the spell effect. The base chance is conversely reduced by 2% per level of difference if the caster is lower level than the caster of the magic to be dispelled. The spell will automatically negate the caster’s own spells if it is used for this purpose or if the caster has previously cast a spell into the same area."
druid,Hallucinatory Forest,4,touch,instantaneous,3 cu ft + 1/ caster lvl,v s m,1 round,none,"The magic user moulds stone by the power of his or her will, shaping it into whatever object or form he or she desires, from a weapon to a sculpture to an ornate stone footstool. Whether used to decorate the wizard’s tower with gargoyles or to make an escape hole from a stone prison, this spell is extremely ver- satile and useful."
druid,Hold Plant,4,80 ft,1 round/ caster lvl,see text,v s m,6 segments,negates,"This spell affects plants that can move, whether naturally or as the result of a spell. Plants affected by the spell are frozen in place for the spell’s duration, and if the spell is cast upon normal vegetation (such as dry leaves), these will make no sound other than sounds caused by the wind. In the case of moulds, fungi, and other plants that cannot be considered separately, the spell affects 4-16 square yards of space, as decided by the druid. In the case of plant creatures such as treants, the spell affects between one and four creatures, at the caster’s option. Depending upon how many creatures (or sq yards of space) the druid targets, the saving throw against the spell is subject to different penalties. If one creature (4 sq yards) is targeted, the saving throw against the spell is made at a penalty of –4; two creatures or 8 sq yards suffer a penalty of –2; three creatures or 12 sq yards suffer a penalty of –1; and four creatures or 16 sq yards suffer no penalty on the saving throw."
druid,Plant Door,4,touch,1 turn/ caster lvl,see text,v s m,6 segments,none,"This spell allows the druid to travel effortlessly through vegetation of any kind, stepping through it as if it did not exist. The pathway may also be travelled by a druid of higher level than the caster, but no other creature can take advantage of the spell’s effect. The pathway opened by the spell may be up to 5 ft wide, 10 ft high, and up to 120 ft/ caster level in length. The druid may even use the spell to shift inside a tree or move through an area of plants affected by a spell (such as entangle). If the druid is within a tree that is attacked, he or she must leave the tree before it is killed or die with the tree."
druid,Produce Fire,4,40 ft,1 round,60 ft radius,v s m,6 segments,see text,"This spell instantly creates a normal fire within its area of effect, a blazing conflagration lasting only one minute (1 round) but causing 1d4 hit points of damage to any creature in the area and igniting all combustible material (subject, of course, to an item saving throw against normal fire). The reverse of the spell extinguishes all normal fires within the area of effect."
druid,Protection From Lightning,4,touch,see text,one creature,v s m,6 segments,none,"This spell lends the recipient the same protection against lightning and electricity as the third level spell protection from fire affords against fire: The druid may use this spell to confer considerable protection from lightning upon another creature, but if he or she casts it upon him- or herself the effects are far greater, conferring temporary invulnerability even to lightning or electricity of a magical nature. If the spell is cast upon another creature, the recipient gains immunity to normal lightning and a saving throw bonus of +4 against lightning based attacks. Any damage incurred by lightning attacks will also reduced by half. If the spell is cast upon the druid, he or she becomes completely invulnerable to normal lightning and also ignores all damage from magical lightning until a total of 12 hp/caster level has been absorbed by the spell, at which time the spell will be dissipated."
druid,Repel Insects,4,caster,1 turn/ caster lvl,one creature,v s m,1 round,see text,"An invisible barrier forms around the spell’s recipient as the caster completes the invocation, warding him or her from insects. Only true insects are affected by the spell, which does not repel spiders, scorpions, beetles or centipedes. Normal insects are completely hedged out by the spell, and giant varieties (2+ HD) must succeed in a saving throw against spells to pass the barrier. Even if a giant insect should manage to penetrate the barrier, it will sustain 1d6 hit points of damage from doing so."
druid,Speak with Plants,4,caster,2 rounds/ caster lvl,40 ft radius around caster,v s m,1 turn,none,"The druid becomes able to hold converse with living plant matter. He or she may pose questions and understand the answers given, although any conclusions or opinions the plant provides will be based on the plant’s level of intelligence. Even a normal plant, however, will be able to convey information about events that have transpired near it. If the plants are capable of motion, it will be possible for the druid to persuade them into a course of action, such as drawing aside to allow passage, or even attacking an enemy citadel."
druid,Animal Growth,5,80 ft,2 rounds/ caster lvl,Up to 8 animals in a 10ft radius,v s m,7 segments,none,"This spell causes up to 8 animals in the area of effect to grow to twice normal size, doubling their hit dice and the damage they inflict. The spell does not influence the animals’ attitude toward the druid, so it is advisable to ensure ahead of time that they are friendly. The reverse of the spell halves their size and damage inflicted."
druid,Animal Summoning II,5,180 ft/ caster lvl,specific mission,spell range,v s m,7 segments,none,"This spell is similar to animal summoning I, but is more powerful. The spell will summon a maximum of six animals, each no greater than 8 HD, or up to 12 animals, each no greater than 4 HD."
druid,Anti-Plant Shell,5,0,1 turn/ caster lvl,80 ft radius sphere,v s m,7 segments,none,"When the druid finishes casting this spell, an invisible barrier forms in an 80 ft radius around the caster and is immobile thereafter. No vegetable matter (including missiles formed of vegetable matter, such as wooden arrows) can penetrate the barrier."
druid,Commune With Nature,5,caster,-,-,v s m,1 turn,none,"To cast this spell, the druid enters into a trance that brings him or her into a state of oneness with the natural surroundings. He or she gains knowledge of the area, learning one fact for each of his or her caster levels. The radius of the area with which the druid can commune is a half-mile for every caster level. Facts that the druid may divine include the paths of water, inhabitants in a part of the region, etc."
druid,Control Winds,5,caster,1 turn/ caster lvl,40 ft radius/ lvl,v s m,7 segments,none,"By the power of this spell, the druid can increase or decrease the force of the winds. For every caster level, the druid may change the speed of the wind by 3 miles per hour. An eye of calm with a radius of 40 ft remains around the druid and travels with him or her. The wind force increases (or decreases) at a rate of 3 miles per hour every round until the end of the spell’s duration, at which time it will return to normal, also at a rate of 3 miles per hour per turn. Winds can be extremely destructive; ships are at great risk of sinking if wind speed reaches 60 miles per hour, and wind speeds of 75+ mph are as a full-fledged hurricane."
druid,Insect Plague,5,320 ft,1 turn/ caster lvl,"cloud of 160 ft radius, 40 ft high",v s m,7 segments,none,"While casting this spell, the druid designates a central point for the spell’s origin up to 360 ft from where he or she stands. When the druid utters the final words of the incantation, this focal point belches forth a massive cloud of stinging insects, which boils outward almost instantly to fill the spell’s area of effect. Within the area of this massive cloud, visibility is limited to 30 ft, and all creatures automatically sustain 1 hit point of damage per round from the stings and bites of the numberless flying vermin. All creatures caught in the cloud with 4 or fewer hit dice must check morale, and those with 2 or fewer hit dice will automatically flee until they are 240 ft away from the edge of the roiling cloud. Fire and smoke will keep the swarm at bay (as will walls of force, etc.), but virtually the only way to disperse a swarm before the spell duration expires is to cast dispel magic upon the swarm’s focal point. Even a fireball or flame strike will do nothing other than temporarily (1 turn) to clear the insects out of the area affected by their flames."
druid,Pass Plant,5,touch,see text,see text,v s m,7 segments,none,"By means of this spell, the druid steps into one tree and steps out from a distant tree of the same type. The druid determines the direction in which he or she will travel from one tree to another. Most trees permit a maximum distance of travel of 300 yards, but trees sacred to druids allow travel of considerably greater distance; oak, yew, and rowan trees permit the druid to travel as far as 600 yards. If no tree of the same type is to be found in the direction the druid designates, he or she will emerge from any tree of that species within the spell’s range closest to the direction he or she specified. The druid may remain in the first tree for as long as one round per caster level before being forced to leave the other tree, and in this case he or she will be treated in the same way as for a plant door spell. If no appropriate tree is available for the druid to step from, he or she may remain in the first tree for the spell’s duration, but will not be able to use the spell for travelling."
druid,Sticks to Snakes,5,40 ft,2 rounds/ caster lvl,5 ft radius,v s m,7 segments,none,"This spell enables the druid to transform sticks into serpents that attack at the druid’s will. The snakes may be ordered to take other actions if the druid can speak with them, but this spell alone does not grant the power to communicate with the snakes, only to will them to attack particular opponents. The spell transforms one stick per caster level, and each snake has a 5% chance per caster level of being venomous. The reverse of the spell will change snakes into harmless sticks and can work such a transformation upon snakes created by means of this spell. Sticks of a magical quality, such as wands or magic spears, are not affected by the spell."
druid,Transmute Rock to Mud,5,160 ft,see text,20 ft cube/ caster lvl,v s m,7 segments,none,"This spell transforms solid rock into mud, the volume transformed being proportionate to the caster’s level. Any volume of mud will sink until its depth is equal to about one half the pool’s diameter. If this spell is cast upon a ceiling, the resulting volume of mud will immediately collapse, possibly trapping or suffocating those caught beneath. Similarly, if a floor is turned to mud, creatures standing in the area will sink and may be trapped. If dispel magic is cast upon the mud before it eventually dries into dirt, the mud will return to stone, but in the shape and location of the mud (i.e., a collapsed ceiling will not return to its original place; it will be frozen back into stone where it collapsed). The spell’s reverse transforms mud into sandstone or a similar sedimentary rock."
druid,Wall of Fire,5,80 ft (wall) or caster (ring),see text,see text,v s m,7 segments,none,"One of the more dramatic examples of druidic magic is the wall of fire spell, by which the druid calls up a blazing inferno of flame in the shape of a wall. One side of the conflagration emits the searing heat one would expect, but the other side emits merely a gentle warmth. Passing through the flames inflicts 4d4 damage plus 1/ caster level. Creatures as far as ten ft from the hot side of the wall incur 2d4 hit points of damage, and even creatures as far as 20 ft from the fire are burned for 1d4 points of damage. Undead creatures suffer worse from the power of this druidic magic, taking twice the ordinary damage the wall would inflict."
druid,Animal Summoning III,6,240 ft/ caster lvl,specific mission,spell range,v s m,8 segments,none,"This spell is similar to animal summoning I, but is more powerful. The spell will summon up to 4 animals of no more than 16 HD each, or 16 animals of no more than 4 HD each."
