class,level,ability,description
assassin,0,find traps,This ability represents the assassin’s minute visual inspection of a new area for tiny telltale signs that something of interest or danger may be concealed nearby. It requires a full turn (10 minutes) to accomplish.
assassin,0,hide in shadows,"Some shadow must be present for this ability to be used, but if the check is successful the assassin is effectively invisible until he makes an attack or moves from the shadows. The ability can also be used to blend in with a crowd of people rather than disappear into shadows."
assassin,0,move silently,Use of this skill allows the assassin to move with preternatural silence even over surfaces such as squeaky floors.
assassin,9,languages,"Ninth and higher-level assassins with Int 15+ may learn languages that it would be impossible for a non-assassin to learn. An assassin can learn an alignment tongue other than his or her own, druids’ cant, and thieves’ cant as additional languages, but can only learn a maximum of four such special languages, one for each point of intelligence above 14. Only one such language can be learned per level above eighth. Such languages are over and above any limits imposed by the assassin’s race and intelligence."
assassin,12,read scrolls,"When an assassin reaches 12th level, he or she has received sufficient training to cast spells from an arcane scroll (magic user or illusionist)."
cleric,0,spellcasting,Clerics may memorise and cast clerical spells in accordance with their level advancement.
cleric,0,turn undead,"Clerics can “turn” the undead, making them flee from the cleric’s holiness (or, in the case of an evil cleric, bringing them to heel as servants and minions)."
fighter,7,bonus attacks,"Fighters with melee weapons attack once per round at 1st to 6th levels (1/1 attacks); at 7th to 12th levels, they attack thrice every two rounds (3/2 attacks); and at 13th or higher levels they attack twice per round (2/1 attacks). A partial additional attack (e.g. 3/2 attacks) means that the extra attack is taken on odd-numbered rounds in the combat sequence, hence two attacks on the first round, one on the second, two on the third and one on the fourth, if applicable."
fighter,0,fighting the unskilled,"When the fighter is attacking creatures with less than a full hit die (i.e. less than 1d8 hit points), the fighter receives one attack for each of his or her levels of experience, e.g. a 4th-level fighter attacking goblins would receive 4 attacks per round."
fighter,0,NB,A fighter exercising multiple attacks departs from the normal initiative procedure. The fighter will automatically attack first in the round unless fighting an opponent with multiple attacks of its own (in which case initiative should be rolled as normal). The fighter’s second attack in any given melee round will come last in the sequence.
fighter,0,weapon specialization,"(optional) With the permission of the GM, weapon specialization may be selected during character generation. If weapon specialization is not selected during character generation, it remains forever unavailable to the character, barring some magical or divine intervention. If weapon specialization is in play, fighters may take a second proficiency in the same weapon as the first, granting them one extra attack every 2 rounds with the weapon (hence 3/2 attacks with a melee weapon at 1st level, 2/1 at 7th and 5/2 at 13th), +1 to hit and +2 damage owing to their skill. Specialization costs one proficiency “slot” for melee weapons and crossbows, and two “slots” for missile weapons other than crossbows."
fighter,0,double specialization,"(optional) For melee weapons that are not polearms or two-handed swords, a third weapon proficiency may be used to specialize further; this increases combat bonuses to +3 to hit and +3 damage with the weapon."
illusionist,0,spellcasting,"Spellcasting: Illusionists may memorise and cast phantasmal spells in accordance with the tables provided below. A beginning illusionist character will know four spells. Two spells should be chosen by the player from the list of first level spells, and the other two should be determined randomly from the list of first level spells. Illusionist spells are written in phantasmal script, which can ordinarily only be deciphered by an illusionist. Illusionists do not employ (or require) the read magic spell."
illusionist,7,hire followers,The illusionist may hire followers at 7th level.
magic_user,0,spellcasting,"Magic users may memorise and cast arcane spells in accordance with the tables provided below. A beginning magic user character will know four spells. One of these will automatically be Read Magic. The second spell should be chosen by the player from the list of first level spells, and the last two should be determined randomly from the list of first level spells."
magic_user,7,eldritch craft,"Mages of 7th or higher level may create magical potions, scribe arcane scrolls (of spells that he or she already knows) and recharge magical rods, staves and wands. This process should be overseen by the GM, who must take care to ensure that it is not too easy! A long list of ingredients will always be required, some of which should be expensive, and others of which should be a challenge to acquire."
magic_user,12,eldritch power,"Magic users of 12th level or higher may attempt to create other magical items by means of the enchant an item spell. However, this is even more difficult than creating a potion or scroll, and the various components required should be of a rarity and value appropriate to the magic item under consideration. Even then, success will not be guaranteed."
paladin,0,improved saving throws,"The paladin uses a more favourable saving throw table than other classes (see table, below)."
paladin,0,cure disease,"Paladins can cure disease (as the clerical spell) by touch, once per week. Paladins of higher than 5th level may do so twice per week, and those higher than 10th level thrice per week. Paladins themselves are completely immune to disease."
paladin,0,detect evil,"A paladin may detect evil at any range up to 60 ft at will, provided he or she concentrates on doing so."
paladin,0,protection from evil,"A paladin radiates an aura within a 10 ft radius, equivalent to the clerical spell protection from evil."
paladin,0,lay on hands,"Once per day, the paladin may heal 2 hit points/ level to any creature touched (e.g. a third level paladin would heal 6hp with this ability)"
paladin,3,turn undead,"Paladins of third level and higher gain the ability to turn undead as a good aligned cleric does, but as a cleric of two levels lower than the paladin’s level."
paladin,4,summon warhorse,"At fourth level, the paladin may summon a special Paladin’s Warhorse, a heavy warhorse with enhanced hit points, intelligence and movement speed. Such a destrier may be called only once every ten years."
paladin,8,bonus attacks,"Paladins gain additional attacks as fighters do, but less swiftly. A paladin has one attack at 1st to 7th level, 3/2 attacks at 8th to 14th level, and two attacks at 15th level and above. If the optional weapon specialisation rules are permitted by the GM, paladins may specialise as fighters do, save that they receive fewer proficiencies and gain extra attacks more slowly as described above."
paladin,9,clerical spellcasting,"Paladins gain the ability to cast certain cleric spells at 9th level (see table, below)."
ranger,0,alert against surprise,"Rangers are less likely to be surprised (only on a 1 on 1d6), and more likely to surprise others (1-3 on 1d6) than other character classes."
ranger,0,damage bonus vs humanoids,"Rangers receive a bonus of +1 damage per ranger level against evil humanoid or giantish opponents (including such creatures as orcs, goblins, and giants, for example). Thus, a 3rd level ranger would receive +3 damage per hit against these creatures. This damage bonus applies only in hand-to-hand “melee” combat."
ranger,0,tracking,"Rangers may track other creatures, with a base 90% chance of success in rural settings (modified by the GM according to such factors as the age of the trail, the prevailing terrain and current weather conditions) and a base 65% chance in urban or dungeon settings (again, modified by the GM to take account of local conditions)."
ranger,8,bonus attacks,"Rangers gain additional attacks as fighters do, but less swiftly. A ranger has one attack at 1st to 7th level, 3/2 attacks at 8th to 14th level, and two attacks at 15th and above. If the optional weapon specialisation rules are permitted by the GM, rangers may specialise as fighters do, save that they receive fewer proficiencies and gain extra attacks more slowly as described above."
ranger,8,spellcasting,"At eighth level, rangers receive limited spell powers, drawn from the Druid and Magic user spell lists according to the table given hereafter."
ranger,10,band of followers,"Rangers of 10th level or higher receive a special body of followers. The GM will determine the exact nature of a ranger’s special followers, but the group may include unusual and magical creatures; centaurs and werebears, for example, would be possible followers."
ranger,10,scrying device use,Rangers of 10th level or higher may use crystal balls and other such devices that permit magical scrying.
thief,0,backstab,"If the thief can approach his or her target unobserved and strike with a melee weapon, the attack is made at +4 to hit. Damage from a backstab is doubled—or trebled if the thief is of 5th level or higher. Thieves of 9th level or higher do quadruple damage, while those of 13th or greater level quintuple the number shown on the die. Damage modifiers (such as those pertaining to strength or magic) are not multiplied from a backstab."
thief,0,climb,"Climbing represents a thief’s ability to scale sheer walls and surfaces, cling to ceilings, and perform other feats of climbing that would normally be impossible. Climbing checks must ordinarily be repeated for every ten ft of climbing. Non-thieves cannot climb walls, cliffs, or any vertical surface without the use of a rope or magic, making the presence of a thief vital to many adventuring parties."
thief,0,find traps,This ability represents the thief’s minute visual inspection of a new area for tiny telltale signs that something of interest or danger may be concealed nearby. It requires a full turn (10 minutes) to accomplish.
thief,0,hide in shadows,"Some shadow must be present for this ability to be used, but if the check is successful the thief is effectively invisible until he makes an attack or moves from the shadows. The ability can also be used to blend in with a crowd of people rather than disappear into shadows."
thief,0,move silently,Use of this skill allows the thief to move with preternatural silence even over surfaces such as squeaky floors.
thief,0,open locks-disarm traps,"Open Locks/ Disarm Traps: Opening locks and disarming traps (without springing them) is a skill unique to thieves, which cannot be successfully attempted by members of other classes. A thief can also set traps (with the same chance as to disarm)."
thief,0,pick pockets,"If the thief’s pick pockets check fails by 20% or more, then his or her attempt has been discovered and the intended victim will almost always take hostile action."
thief,0,read languages,The thief may attempt to read languages and ciphers of a non-magical nature only.
thief,0,thieve's cant,Thieves’ Cant: Thieves have their own language.
thief,10,read scrolls,"When a thief reaches 10th level, he or she has become well-versed enough in training to cast spells from an arcane or phantasmal scroll (magic user or illusionist). However, this casting is not always successful. The thief should roll against his or her intelligence as a magic user or illusionist does, and if the score shown on the die is insufficient for the thief to cast the spell, then the casting will fail, possibly (at the GM’s option) having some entirely unexpected effect."
